alpha,N,T_long,tau,decay_times,v_sim,v_pred,ratio,fits
0.01,1942,2000.0,200.0,3.0,0.7727674694955121,1.178820770492938,1.5254534087239864,1
0.01,1942,2000.0,200.0,5.0,0.7727675045104704,1.1786394211214501,1.5252186644003487,1
0.01,1942,2000.0,200.0,7.0,0.7727673907445877,1.1786019444813054,1.5251703922776585,1
0.01,1942,2000.0,200.0,9.0,0.7727672705225767,1.1785718152589963,1.5251316408134084,1
0.02,902,1000.0,100.0,3.0,0.7087134797910001,0.7416484985972104,1.0464715569060756,1
0.02,902,1000.0,100.0,5.0,0.7091352462228,0.7412985324047545,1.0453556445731218,1
0.02,902,1000.0,100.0,7.0,0.7091403624030224,0.7413020514262026,1.0453530651029308,1
0.02,902,1000.0,100.0,9.0,0.709140740305794,0.7413015707845545,1.0453518302514846,1
0.03,537,666.7,66.7,3.0,0.5858235861084649,0.5991228509498258,1.022701825526872,1
0.03,537,666.7,66.7,5.0,0.5863359843781348,0.5999271225450113,1.023179778367673,1
0.03,537,666.7,66.7,7.0,0.5863451564395779,0.5997925865987226,1.022934324623402,1
0.03,537,666.7,66.7,9.0,0.5863447969338627,0.5997532743169303,1.022867905459695,1
