theta,v_squeeze,v_stretch,squeeze_pinned,stretch_pinned,w_squeeze,w_stretch,T_squeeze,T_stretch
0.02,0.06968563369735847,0.0693129120679534,0,0,4.03707572491731,4.034775659574912,574.0464025673107,577.1219929826854
0.05,0.06996420205162429,0.0690334589022784,0,0,4.044326323682777,4.022270068945637,571.7470933234031,579.441325909395
0.1,0.07042835173555793,0.06857026252858375,0,0,4.066496946349862,3.9321280941076466,567.9497082460714,583.3356544994169
0.2,0.07136125115610499,0.0676467025753706,0,0,4.146551083891666,3.9014637348169434,560.5037575510245,591.3276540252843
0.3,0.07229934628875768,0.06672257505968647,0,0,4.206707520694508,3.8008176471645223,553.264950081456,599.4838256751079
0.4,0.07323671490991389,0.06580423402329344,0,0,4.2720979895651245,3.7595605639502447,546.1664347799824,607.8357713671128
0.5,0.07417679996188889,0.06488880689291111,0,0,4.356301258018722,3.670854722220357,539.2573939057773,616.4825817975379
0.75,0.07654187257405827,0.06260897141266877,0,0,4.530293733681416,3.518609681190616,522.5773422212019,638.8969742197878
1.0,0.07892187876097131,0.06034755283958623,0,0,4.712203258323353,3.3682737386749704,506.82454723594606,662.7758467427238
1.5,0.08372530486098383,0.055885024744361515,0,0,5.058027921556138,3.0539114735325503,477.73329625108784,715.7267992445704
2.0,0.08858973269655913,0.05149554270609464,0,0,5.409029026824847,2.7626126986478545,451.5165123201293,776.8893204484991
3.0,0.09846565917465493,0.042906610557775726,0,0,6.176159509965968,2.2549968858426714,406.23398154863054,932.2696035131155
4.0,0.10852914753750366,0.03443884932554531,0,0,6.932850116590802,1.9793491293669223,400.0,1160.2413466460162
5.0,0.11874964203113747,0.025780623716832898,0,0,7.736896859688077,1.7196561758879791,400.0,1555.6891955986234
6.0,0.1291067088050957,0.01711710525632521,0,0,8.55572665953811,1.0111460789549809,400.0,2340.574736300063
7.0,0.13958205059272666,0.008546163525324129,0,0,9.394999731591051,1.111749504736156,400.0,5144.177294615972
7.5,0.14485910560849508,0.003085258482657203,0,0,9.824350457622911,0.9005830022000669,400.0,20000.0
7.75,0.1475068993892063,-2.759442008877583e-18,0,1,10.0326095139761,0.7983875753720528,400.0,12800.0
8.0,0.15016011349617694,-9.198140029591945e-19,0,1,10.24715466757974,0.7658805534082587,400.0,12800.0
