# per-diaphragm disorder ensemble, written 2026-08-01T08:31:45.955263+00:00
# delta0=0.001 A=1.0 alpha=0.1 N=200 T=400.0 dt=0.0001
# sigmas=[0.0, 0.05, 0.1, 0.2] n_seeds=8 seeds from 1000
# n=25 wall=251s workers=9
# python=3.14.6  numpy=2.3.4  macOS-26.5.2-arm64-arm-64bit-Mach-O
sigma,seed,v_sim,v_pred,ratio,delta_realised_mean,delta_realised_std
0.0,1000,0.22056032,0.22365436,1.01402808,0.0010000000,0.0000000000
0.05,1000,0.22228068,0.22343948,1.00521325,0.0010022490,0.0000472718
0.05,1001,0.22188600,0.22337883,1.00672789,0.0010041306,0.0000469035
0.05,1002,0.21986100,0.22360801,1.01704261,0.0009939302,0.0000440613
0.05,1003,0.22056826,0.22359858,1.01373868,0.0009936061,0.0000475231
0.05,1004,0.22080460,0.22384707,1.01377903,0.0009964542,0.0000503410
0.05,1005,0.21980692,0.22358000,1.01716547,0.0009951116,0.0000503652
0.05,1006,0.22071118,0.22389203,1.01441180,0.0009955724,0.0000512703
0.05,1007,0.22216719,0.22366190,1.00672783,0.0010016941,0.0000528279
0.1,1000,0.22387064,0.22329582,0.99743232,0.0010044981,0.0000945437
0.1,1001,0.22317530,0.22308145,0.99957950,0.0010082612,0.0000938070
0.1,1002,0.21900601,0.22354287,1.02071571,0.0009878604,0.0000881226
0.1,1003,0.22048410,0.22371098,1.01463544,0.0009872123,0.0000950462
0.1,1004,0.22101490,0.22401207,1.01356093,0.0009929084,0.0001006821
0.1,1005,0.21902123,0.22350335,1.02046430,0.0009902232,0.0001007305
0.1,1006,0.22078129,0.22408599,1.01496821,0.0009911447,0.0001025405
0.1,1007,0.22372959,0.22366433,0.99970828,0.0010033881,0.0001056557
0.2,1000,0.22682712,0.22318680,0.98395116,0.0010089961,0.0001890873
0.2,1001,0.22574140,0.22244047,0.98537739,0.0010165224,0.0001876140
0.2,1002,0.21708010,0.22341906,1.02920103,0.0009757208,0.0001762453
0.2,1003,0.22019504,0.22453475,1.01970848,0.0009744246,0.0001900924
0.2,1004,0.22130772,0.22426349,1.01335596,0.0009858167,0.0002013641
0.2,1005,0.21744458,0.22334321,1.02712702,0.0009804464,0.0002014609
0.2,1006,0.22078048,0.22431351,1.01600244,0.0009822894,0.0002050811
0.2,1007,0.22672920,0.22365449,0.98643884,0.0010067763,0.0002113114
