# uq_sweep.py edge/train  2026-07-19T10:13:26+00:00
# seed=7  n=64  N=200  T=200.0  dt=0.0001  rel_tol=0.1
# python=3.14.6  numpy=2.3.4
# wall_seconds=332  workers=8
delta,A,alpha,v_sim,v_pred,ratio,run_seconds
0.0009515931,1.0914094,0.021456231,0.729274,0.771579,1.058010,24.9
0.00098702234,0.95564387,0.018442347,0.665776,0.781313,1.173538,38.0
0.0010707491,1.030239,0.020110199,0.728392,0.825607,1.133466,39.2
0.00093356803,0.90849089,0.021070692,0.588089,0.668870,1.137363,37.0
0.0010096609,0.91759257,0.021320825,0.613063,0.696394,1.135927,38.3
0.0010673161,1.0030361,0.021883168,0.688327,0.763765,1.109596,38.0
0.0010547118,0.96041463,0.020817579,0.662359,0.753236,1.137201,38.8
0.00094022294,0.99811961,0.02186915,0.650012,0.703799,1.082749,37.3
0.00090112895,1.0787591,0.019579328,0.727674,0.785626,1.079640,38.2
0.0010799943,0.92203345,0.020019151,0.643965,0.755051,1.172503,37.3
0.00091893516,0.90379034,0.02098955,0.580994,0.662893,1.140963,38.4
0.00091371135,1.0684858,0.020726245,0.709135,0.755581,1.065497,37.5
0.0010416345,1.0401255,0.019324196,0.737653,0.840126,1.138917,38.5
0.0010910944,0.92847627,0.018027176,0.666686,0.817364,1.226010,37.2
0.0010025511,1.0081368,0.020805245,0.687296,0.763364,1.110676,38.4
0.00096993577,0.91399749,0.018398461,0.628187,0.746457,1.188271,36.8
0.00096243359,0.98623339,0.01948193,0.673750,0.762844,1.132236,38.2
0.00097684372,0.98018523,0.02125605,0.653826,0.722380,1.104851,38.0
0.0009456408,0.99470831,0.021045458,0.658429,0.721657,1.096029,38.5
0.0010332437,0.93425422,0.02048603,0.639802,0.734103,1.147391,38.3
0.0010239889,0.90145575,0.02117661,0.605089,0.694970,1.148543,39.0
0.0010567212,0.94571282,0.019979638,0.658820,0.763756,1.159279,38.3
0.00098262598,0.96761008,0.019835671,0.660518,0.750537,1.136285,38.7
0.00096324864,1.0818247,0.018629013,0.759486,0.850404,1.119709,38.8
0.00098875781,1.0220683,0.018219924,0.722288,0.836070,1.157531,39.0
0.0010971772,1.073161,0.019422341,0.775060,0.879125,1.134266,38.5
0.0010623995,1.0867626,0.020261927,0.769824,0.854501,1.109995,39.0
0.0010131719,0.93692257,0.02014164,0.640510,0.735758,1.148706,38.6
0.0010770993,1.0054062,0.018283508,0.726342,0.859451,1.183261,39.0
0.00090406381,1.0972288,0.020921771,0.725516,0.760552,1.048291,38.8
0.0010183565,0.94035423,0.018806037,0.656733,0.774132,1.178762,39.0
0.00093019442,0.99000636,0.018507859,0.678865,0.776058,1.143170,38.7
0.0009097863,1.0621178,0.020574017,0.704882,0.753699,1.069256,39.5
0.0010276409,0.97351033,0.018862471,0.685321,0.801078,1.168908,38.4
0.001040453,1.0434864,0.021227783,0.719960,0.794142,1.103036,38.1
0.0010465747,0.99077079,0.019545061,0.696952,0.803406,1.152742,38.3
0.00094240537,1.0500947,0.019249798,0.721384,0.801621,1.111226,38.5
0.0010942046,1.0531882,0.019121199,0.761166,0.873117,1.147080,38.5
0.0010474764,1.0164149,0.019740189,0.715813,0.816428,1.140560,38.5
0.00095602471,1.0882768,0.02167357,0.725565,0.766743,1.056753,38.4
0.00095797602,0.98183595,0.019649689,0.667354,0.753235,1.128689,38.7
0.0010818142,0.97677205,0.018915077,0.698284,0.824466,1.180703,38.7
0.0010871377,0.96262183,0.021511528,0.664902,0.752089,1.131128,38.6
0.0010738799,1.070595,0.018109968,0.780717,0.903273,1.156979,38.7
0.00092678029,1.0348938,0.019922356,0.697045,0.764448,1.096698,38.6
0.0009230509,1.0489934,0.018357581,0.725669,0.816616,1.125328,39.0
0.0010044092,1.0094409,0.0187153,0.710688,0.820524,1.154549,38.8
0.0009944984,1.0759705,0.021961136,0.724137,0.773542,1.068225,38.8
0.00094699393,0.94980732,0.021588736,0.618355,0.685799,1.109069,39.0
0.00099336318,0.91105749,0.020627084,0.610417,0.700952,1.148318,38.2
0.0010202117,0.95878621,0.01861527,0.673927,0.793752,1.177802,36.3
0.0010517114,1.0208063,0.019033898,0.727129,0.839391,1.154390,38.3
0.00097288176,1.0331586,0.02052422,0.701828,0.772172,1.100231,35.9
0.0010648479,1.0943477,0.021409252,0.763795,0.833058,1.090682,38.4
0.00097820374,0.97054498,0.020232603,0.657625,0.740636,1.126229,35.9
0.00091678808,1.043874,0.020336341,0.695981,0.753333,1.082404,38.5
0.0010344698,0.9275052,0.019301915,0.645312,0.758722,1.175744,35.9
0.00090663404,1.0655002,0.021744966,0.691664,0.725883,1.049474,38.5
0.00099989734,0.94329378,0.019774215,0.645961,0.743281,1.150660,35.8
0.0010083055,1.0251585,0.020383614,0.706633,0.788264,1.115521,38.5
0.0010888382,0.91980831,0.021797523,0.628824,0.717030,1.140271,35.7
0.00096726169,0.95099376,0.018999559,0.651876,0.753737,1.156259,38.8
0.0010308525,1.0128522,0.019134249,0.715229,0.822931,1.150584,35.4
0.00093545066,1.0582082,0.018169542,0.738648,0.834892,1.130297,38.5
