# uq_sweep.py main/train  2026-07-19T10:01:55+00:00
# seed=42  n=256  N=200  T=400.0  dt=0.0001  rel_tol=0.1
# python=3.14.6  numpy=2.3.4
# wall_seconds=3171  workers=8
delta,A,alpha,v_sim,v_pred,ratio,run_seconds
0.0010315899,0.94833344,0.10700368,0.201919,0.205080,1.015656,50.8
0.00092108779,1.0711829,0.1092455,0.200898,0.203319,1.012050,78.1
0.0010874154,1.0896347,0.10081314,0.258342,0.261431,1.011956,79.1
0.0010404286,0.93315632,0.095268754,0.223418,0.227071,1.016349,82.4
0.0010921022,1.0238696,0.093759829,0.260604,0.264172,1.013692,86.3
0.0010780418,0.92863602,0.097897791,0.224058,0.227779,1.016607,87.2
0.0010004054,0.92028892,0.091614648,0.220248,0.223952,1.016819,111.2
0.00090259057,1.0921755,0.098879337,0.221046,0.223616,1.011627,134.0
0.0010646656,0.99085018,0.10278616,0.225928,0.229173,1.014363,165.1
0.00093020442,0.98338574,0.097579669,0.207215,0.210200,1.014402,79.5
0.00096904192,1.0982422,0.10143176,0.232178,0.234854,1.011526,80.4
0.00093991755,1.0940207,0.099312329,0.229209,0.231864,1.011581,84.0
0.00093652093,1.0461905,0.10771704,0.202056,0.204596,1.012574,88.0
0.0009587988,1.0828445,0.10334849,0.222594,0.225221,1.011800,89.4
0.0010437006,1.0732635,0.097753647,0.251968,0.255071,1.012314,112.0
0.00096268826,0.99413258,0.10036468,0.210739,0.213728,1.014180,144.3
0.0009485334,1.0374887,0.10438511,0.209007,0.211688,1.012830,166.6
0.00096236806,1.002707,0.091037121,0.233010,0.236289,1.014074,78.6
0.001075901,1.0679515,0.093604582,0.268614,0.271969,1.012491,79.3
0.0010290463,0.99016529,0.1036159,0.216952,0.220071,1.014376,82.7
0.0010574995,0.99202631,0.10270896,0.224936,0.228141,1.014247,86.0
0.001081152,0.96491002,0.091946119,0.247594,0.251408,1.015404,88.0
0.00097359096,1.0121527,0.096812697,0.224415,0.227518,1.013829,111.7
0.0010682112,1.0490641,0.094026725,0.260954,0.264339,1.012972,136.6
0.0010654511,1.0390037,0.10513292,0.232181,0.235224,1.013108,165.7
0.0010601342,0.95220514,0.099840072,0.222150,0.225600,1.015529,78.9
0.0010636725,1.0804976,0.096219536,0.262078,0.265284,1.012235,80.1
0.0010235499,0.90810367,0.098535555,0.207353,0.210925,1.017229,83.3
0.00093907339,0.9289443,0.10379887,0.186107,0.189109,1.016131,87.3
0.00096424192,1.0993041,0.090337538,0.258037,0.261041,1.011642,88.4
0.0010047905,0.95365258,0.10687314,0.198270,0.201329,1.015425,112.0
0.0010349044,0.90680723,0.0999531,0.206459,0.209992,1.017115,141.6
0.0010297827,1.0006045,0.10411605,0.218429,0.221490,1.014010,166.3
0.00097695807,0.97489489,0.10242369,0.205514,0.208560,1.014822,78.9
0.0010083549,0.94198393,0.10003125,0.209213,0.212516,1.015785,79.1
0.0010965477,1.0318757,0.096708993,0.256206,0.259627,1.013350,82.5
0.00095484357,1.0844133,0.10989142,0.209398,0.211845,1.011684,87.1
0.0010756282,0.94002698,0.10355031,0.214794,0.218219,1.015946,87.8
0.0010833714,0.96923586,0.093588745,0.245129,0.248872,1.015268,111.1
0.0010497961,1.0420767,0.10053547,0.239536,0.242648,1.012993,136.6
0.00097822739,1.0289098,0.092993923,0.238054,0.241251,1.013426,165.2
0.00094228418,0.91915205,0.096761293,0.197486,0.200752,1.016534,78.7
0.0010366622,0.98256038,0.10339764,0.217217,0.220384,1.014578,79.3
