sweep,x,ratio
Omega,0.03,1.832587460896145
Omega,0.06463304070095649,1.3993456359677976
Omega,0.13924766500838334,1.0711151735302593
Omega,0.29999999999999993,1.002021034431141
Omega,0.6463304070095649,1.0008669081460035
Omega,1.392476650083833,1.0006255970167102
Omega,2.9999999999999996,1.0006643345455688
Omega,6.463304070095646,1.0006311709267277
Omega,13.92476650083833,1.0006308219108861
Omega,30.0,1.0006290024424838
kappa,0.5,1.4290716336515439
kappa,0.7937005259840998,1.0991503309035282
kappa,1.2599210498948732,1.0305454109391265
kappa,2.0000000000000004,1.011631458628025
kappa,3.174802103936399,1.004339161829521
kappa,5.039684199579493,1.0016598178873368
kappa,8.000000000000004,1.0006411023704873
kappa,12.6992084157456,1.0002485722839003
kappa,20.158736798317975,1.0000973375475881
kappa,32.0,1.0000381117372739
Pi,0.02,1.0006538367637126
Pi,0.05,1.0006525535024544
Pi,0.08,1.000649312620004
Pi,0.115,1.0006411023704866
Pi,0.15,1.0006308557008428
Pi,0.2,1.0006120404547103
Pi,0.25,1.000584624532123
Pi,0.3,1.0005447126983587
Pi,0.35,1.0004815383267314
theta,0.02,1.0006020736872374
theta,0.05,1.0006173730896089
theta,0.1,1.0006411023704866
theta,0.15,1.0006680622231359
theta,0.2,1.0006957725309937
theta,0.3,1.0007564607841373
theta,0.4,1.0008232590685133
theta,0.5,1.0008930187037803
