A,delta,alpha,v_measured,v_predicted,ratio
0.5,0.001,0.02,0.17548766670572014,0.5964265588848978,3.398680773874902
0.5,0.001,0.05,0.11621776657705239,0.24016609963540897,2.0665179404921608
0.5,0.001,0.1,0.06866151485832471,0.11896499767787043,1.732629959058452
0.5,0.003,0.02,0.36411141909629435,1.056565745563106,2.9017649273001305
0.5,0.003,0.05,0.3274957142623717,0.48888655921468305,1.4928029220651537
0.5,0.003,0.1,0.25144573027196143,0.29821650807215877,1.186007444825611
0.5,0.009,0.02,0.46547218207753366,1.8803968427479525,4.039762020482536
0.5,0.009,0.05,0.4489921954553624,1.0570950018491152,2.354372776517913
0.5,0.009,0.1,0.4210650566454399,0.6621517393252346,1.5725639752690355
1.0,0.001,0.02,0.6742108454280191,0.7980402642477457,1.1836657177193792
1.0,0.001,0.05,0.40846123332595147,0.41986853298584126,1.0279274964897018
1.0,0.001,0.1,0.22084087024027607,0.223269570783938,1.0109975139158776
1.0,0.003,0.02,0.7897714192144978,1.506349942797762,1.9073239498790286
1.0,0.003,0.05,0.7465415809548113,0.8130693269480681,1.0891145887790594
1.0,0.003,0.1,0.5533129942591455,0.5653024953482308,1.0216685695320398
1.0,0.009,0.02,0.7922813613261853,2.3174027533900134,2.924974468048769
1.0,0.009,0.05,0.7971616961612795,1.4480281950796694,1.8164798961774355
1.0,0.009,0.1,0.7966111470549484,1.0258312631401665,1.2877440479368625
1.5,0.001,0.02,0.6226432788752332,1.0524528577981755,1.6902982711053542
1.5,0.001,0.05,0.6414836630914815,0.6082922379507893,0.948258346937888
1.5,0.001,0.1,0.3364747995846199,0.3345155947548539,0.9941772613218444
1.5,0.003,0.02,0.5960877151690606,1.9633504279983198,3.293727379436901
1.5,0.003,0.05,0.6428600880058102,1.1735286828485707,1.825480699056813
1.5,0.003,0.1,0.7356313323490015,0.8396239158060002,1.1413650817793906
1.5,0.009,0.02,0.5539425483442678,3.0244095276965135,5.459789172607271
1.5,0.009,0.05,0.5742298796308306,1.9395760700552829,3.377699661505295
1.5,0.009,0.1,0.6096055800286538,1.429068577060148,2.344251141849745
2.0,0.001,0.02,0.3206371086646127,1.6227520566880869,5.06102385792622
2.0,0.001,0.05,0.44910959911361426,0.8002932037079824,1.781955240519201
2.0,0.001,0.1,0.4521528291778511,0.44542926016026585,0.9851298751578959
2.0,0.003,0.02,0.3305569181765689,4.87563786427738,14.749768031395517
2.0,0.003,0.05,0.36322701528750706,1.8157858532264888,4.999038553862052
2.0,0.003,0.1,0.522298021033924,1.1158241466138341,2.1363744484518348
2.0,0.009,0.02,0.3051762775774313,9.450199715546292,30.966364065268884
2.0,0.009,0.05,0.32086040854526204,4.252072204048364,13.252093716786959
2.0,0.009,0.1,0.35204267416121765,2.353407216436226,6.68500550975387
5.0,0.001,0.02,0.22548363388832093,5.225944841522799,23.17660378008251
5.0,0.001,0.05,0.08855455132994353,2.0319936802829006,22.946236526137866
5.0,0.001,0.1,nan,nan,nan
5.0,0.003,0.02,0.12270693481194073,13.106630634602073,106.81246870593866
5.0,0.003,0.05,0.052276716633042536,5.343211427712263,102.21015725258805
5.0,0.003,0.1,nan,nan,nan
5.0,0.009,0.02,0.030883593768741006,30.960382276178937,1002.4863851018417
5.0,0.009,0.05,0.021273285609343162,11.68212202862528,549.1451693524261
5.0,0.009,0.1,0.013844001583924131,5.622079591062283,406.1022065752093
